date,event,txhash,role,account,sender,role_name
2023-11-14,RoleGranted,0x9b099ba3c8e64ea8904cc6de83f2245e309e0f91c3ce1f976328b601e4dda314,0000000000000000000000000000000000000000000000000000000000000000,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,0x8de54b1cefedeab1766b947c7d9a9963436e8fae,0000000000000000000000000000000000000000000000000000000000000000
2024-01-17,RoleGranted,0x8f4cce76500119da6d1395825a4e62e9d766b0bae72f3c6561ddcf365a64f18c,beec13769b5f410b0584f69811bfd923818456d5edcf426b0e31cf90eed7a3f6,0x71e4f98e8f20c88112489de3dded4489802a3a87,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,REWARDER_ROLE
2024-03-12,RoleGranted,0xbc6bf2b600730b448273374ef18e7415d57fc4d8465ea2385a3faaa6e83bd43c,beec13769b5f410b0584f69811bfd923818456d5edcf426b0e31cf90eed7a3f6,0xf2fa332bd83149c66b09b45670bce64746c6b439,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,REWARDER_ROLE
2024-04-29,RoleGranted,0x8b11f3e7eb5f7039df3b6e63bae3719c6d5512dbca719a08a57721444c9579d2,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x9fa7bb759641fcd37fe4ae41f725e0f653f2c726,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-06-10,RoleGranted,0xd0e414070cfb019c56e8ec2a3f9b83376be083a64f7ba91260d7ee742f644492,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x841ddf093f5188989fa1524e7b893de64b421f47,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-06-10,RoleGranted,0x1ce0baf587e3046b0e666d0a05a8d786e1ea5bff211d95999916ee0c07bd7f14,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x4e48c46779b3b16d63375751467d7eee34d41c3d,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-06-10,RoleGranted,0x52d70e8de67d1cc63fa89af9c8d738a1309c9c1cb1e7e2c105cb955b359794bc,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x31d3243cfb54b34fc9c73e1cb1137124bd6b13e1,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-06-10,RoleGranted,0x0e5ded7b3d26f6860095d59e61af65a5e1c4ce3beef7045c9be158414c415ae5,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x48d7c1dd4214b41eda3301bca434348f8d1c5eb6,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-06-10,RoleGranted,0xce250a6e89385b7c1eb6ee2649f9e623484b6ab1b3304b982dcf76c7841b4821,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x050c7e9c62bf991841827f37745ddadb563feb70,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-06-18,RoleGranted,0xd039b316c309911f73cac17ba2bf006540c35df25e909d427d7d374ae917832e,f988e4fb62b8e14f4820fed03192306ddf4d7dbfa215595ba1c6ba4b76b369ee,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,BLACKLIST_MANAGER_ROLE
2024-06-18,RoleGranted,0x2e6cd131956a0fe0fb4a92e66afd8279b2f17ecf903b379ed8f2cef4000ed5f9,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x6d8f65b47b6d1f719ea54ccca2f21c2e6310678e,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-06-18,RoleGranted,0x6b7be9103b2b7193871edd135320063480dd5c615c0ca57db2e6e2eac3927176,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0xf2087962b909f109ec40637d980f57dabf71a0bc,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-06-22,RoleGranted,0x4ce8e0a831ec8341f1b0907b62db8d5e73dabe892a629b468194d111874971e3,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x959065f2249104fadfef12eccee058394d5d85c2,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-06-22,RoleGranted,0x8de2981f071e48bbef46e6997e54c2635b34d5ec49bcb521515466cfcdd6771e,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x0a41051798e90119a79eeef1ade8e4ff2d43b432,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-07-24,RoleGranted,0xa474f680cb464f7e643e158effdeea14594643dba26dac9d84fd78806526a7fd,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x2f3ee47088ba82c1230088f382e68f6a7a5f9c92,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-08-01,RoleGranted,0x14eba4895ab07298464d9afa991a3ab265ba003f1113883a541e2cfb095b02f3,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x83dee5e53470f04bee1149ace5fe5a88e148c94e,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-08-13,RoleGranted,0x6456e0b06f797122c2862e986800717314d4b78c29b8bbf8bac9ac35c0b22a18,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x04575474e74bcbb5346437bc11b06153de83a602,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-08-13,RoleGranted,0x723eba46041b472d073eabfc52480d5d2af9313ef56e79dc7925057602222eb0,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x75691dd77921c5af35ed0c9e787c6fcac1899590,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-08-27,RoleGranted,0x74b0716b15ba1803aa0b819e5a50000954189ee0e50ca4374f0b96d46f4cba7b,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0xf7c05db7485e5c707335bd55517a8661d3ef5d46,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-10-23,RoleGranted,0x358ab9b267ee45daf4ad8bd3447ee1f7be824eebdbe64176c4c195aa8969c174,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0xef197fd4cdc79fbdc9aa30f40b1202fe2fc3ef07,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-10-23,RoleGranted,0x82f05dc45b5c4754cf48b191746f846087f2ffb66437e73d51502260803bf50c,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0xcf97c9e070cf2f8f18464b1695e5d18dfe44d81e,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-10-28,RoleGranted,0x1f632ae826898cde5dfaea7b63e9d7f4a3d61e24fbc063ba9e5147dbf9edbb94,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0xbfb7718329e5e223a5a09fa55ded0d44c07e4ab0,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-10-28,RoleGranted,0xc3e1faba821587dd98ea86c0a6a58beb0b8870954fffac0dd587c99fa234bc56,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x8a0c3dc30ec4a82447f3573d1bd352019151e200,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-10-29,RoleGranted,0x7453c70f73102ecfb2b5a2fe731dc7fd3c2c8f1efdeea61e41104e301c0a48f9,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0xf58738234646a4b725b6edd57e8fa8a5c7cb315b,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-11-15,RoleGranted,0x4820b9c3f9eb6acc1e4439fb0b68019a28fb0c93fc603fc429a2764ae9368a74,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0xd72cd83afba0dcfeff95d463adcb2b8def6aa623,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-11-20,RoleGranted,0xb3c4259c2fc6eb0fd52fcb45686c2bd8cc9d73e166a29a737400ac2c39e952de,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x03d5a9d50a4ed6f19e0820fe166cd2f6f6693f69,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-11-20,RoleGranted,0xfa1c0a8617f27d79ec8f81748c29348ff65309f1349b94f241cabade893ffde6,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0xf54f06ca73825a5814afe21094c55c3eed0538fa,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-11-20,RoleGranted,0x8bbe7a76ed3e42d3d983815d4676c4f85be89cccecb446113b043a30d9faaff0,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x998b7b971c4c6db1317440bc5d5a4a6320fda46f,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-11-22,RoleGranted,0xa55c79bead65b3300810fe2915d3ef61815bc1415c284771953ee12af7dee46b,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-11-22,RoleGranted,0x3e444d99a317e129046d8361840af82e7068be67e03c2567b6f0afd191d92396,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0xf54f06ca73825a5814afe21094c55c3eed0538fa,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-11-22,RoleGranted,0xae6e573640e502865959e91c06f233e2a66940869b052da3ad30a880a0df88f4,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0xba4b0b2517c809d8ac92c3b7a8c4c65dfe7e4c4e,0x21f9236e8ee76474284fe8cde6ece6c8d19d781e,FULL_RESTRICTED_STAKER_ROLE
2024-11-30,RoleGranted,0x4648d13fc365483692e74a644a37d05775a74d2248fec69a77e7cb1092611b5f,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x8b7504a7a13f93b46303688fa41145cf52c0ac90,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-12-04,RoleGranted,0xee033d31922bde9c99469880e7886784c8b583a0343a74b49ac8d58aef7714c7,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0x7a2f4d625fb21f5e51562ce8dc2e722e12a61d1b,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
2024-12-24,RoleGranted,0x259f8804193ba8a5da73b3c243f53c1c734cf0b13119338a1f9e7f15b3b0d549,0a4af4bcc1942295207d9f047442ebdae6170a6e324850f758b14cf99b65c3bd,0xd8e609dca1e6b9f2ff3b6bbb34f3d3bf76b8d535,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,FULL_RESTRICTED_STAKER_ROLE
